id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
1UiFsgBWM8Ce24jWBQubO7,Screams the Night,Chariot,1.51e-05,0.25,0.942,0.316,0.483,0.0724,90.581,-5.381,0,5,221400,4
1Td7TGT1XtK2ojUjz1mGUV,Animals,Architects,0.000123,0.532,0.759,0.293,0.02,0.0319,95.01,-3.842,0,1,244365,4
4yI7b8n6h54bp7UQ1z8UBT,Encased In Concrete,Cannibal Corpse,0.000476,0.263,0.996,0.198,0.269,0.136,134.886,-4.436,0,10,193827,3
3az8b1yUBQ2JJMgRP0hXwQ,Iron Strengthens Iron,Dyscarnate,2.79e-06,0.314,0.974,0.402,0.74,0.0916,90.022,-5.622,0,8,275573,4
6PXt0fBeQpDXJL3aum8bQ7,My Faith Is Larger,Saving Jackie,0.000797,0.724,0.947,0.855,2.02e-05,0.0508,119.984,-3.403,1,2,237276,4
4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,Iron Maiden,0.0318,0.285,0.908,0.669,0.00909,0.0705,159.756,-4.601,0,4,252733,4
0xcF2mC6MktbXOT7kRiXoF,You'll Never Find Me,Korn,9.07e-05,0.581,0.903,0.177,0.124,0.0786,107.028,-5.013,1,8,220881,4
5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,0.15,0.472,0.366,0.171,0.312,0.0286,127.163,-12.595,0,11,382297,4
1KLmiSyLPgqc13H4gTBdoU,Closer to Comfort,Dreamhouse,0.0139,0.516,0.904,0.268,0.0,0.0449,145.016,-3.905,1,8,236793,4
0B3yPxcK4mewMyfNbsSCKG,Addiction,Unbreakable Hatred,1.29e-05,0.243,0.995,0.238,0.745,0.121,105.394,-3.196,1,9,262250,4
0ModLA3aEXtcomXahJMLG6,Stereo Homicide,Coffin Feeder,1.71e-05,0.216,0.979,0.171,0.0216,0.114,147.809,-3.168,1,6,166046,4
4CB1Y4YRTmjwamvc1Ov6YN,Severed Survival,Coffin Feeder,4.6e-05,0.241,0.954,0.199,0.00865,0.136,140.121,-4.637,0,2,262805,3
6LRfG3PBRTnZELsi36xH8i,Question,Severed Savior,0.000635,0.338,0.986,0.144,0.804,0.189,121.581,-4.648,1,1,282693,4
3U2aF159Zbr0B02tA4LlsI,Statesboro Blues,Allman Brothers Band,0.137,0.467,0.669,0.673,0.00933,0.0559,126.917,-9.399,1,2,284480,4
2SrVGpjv0mqCR6j9EZPSm2,2 Minutes to Midnight - 2015 Remaster,Iron Maiden,0.00754,0.446,0.97,0.595,0.000275,0.0508,94.233,-5.004,0,9,363587,4
1kAcDAAplTKPiPnFdw5qTg,Losing My Mind,Prison,0.0042,0.559,0.967,0.307,0.0,0.125,140.019,-4.637,1,1,224472,4
1N7s0sjQR0SA9qWn0RS5kc,Forsaken,ENOX,3.53e-05,0.551,0.961,0.281,0.189,0.157,95.071,-4.235,0,10,199500,4
5WfjIroYUEKTejIE2WJqON,Evergreen,Fault Lines,0.000497,0.532,0.978,0.137,0.00036,0.111,97.998,-3.166,1,7,209541,4
7tr90i9oJAQgybcAhWlZ4l,Demon Child,Within Destruction,8.94e-06,0.496,0.971,0.28,8.53e-06,0.139,101.985,-4.83,1,11,175474,4
0lF6AQLeya7MqD1REy5cyD,Human Concept,Offending,5.58e-06,0.268,0.852,0.113,0.834,0.0773,121.892,-4.483,0,9,467373,4
6kZODmKbv4l50Tj7LJkg9d,Let's Go,E-Town Concrete,0.0225,0.415,0.941,0.738,0.0,0.166,169.973,-4.158,1,4,221360,4
0nYuAeI5PNGm4YNk7n1BCa,Am I Evil,Diamond Head,0.000505,0.21,0.841,0.327,0.000212,0.0775,174.764,-3.977,1,9,440507,4
0v39D0BL3NJkSjIDL4YpYj,Broken Steps,Coe Hill,9.28e-06,0.406,0.977,0.428,0.245,0.146,164.025,-5.762,1,7,206335,4
0kUBk3PnCat4oPvTlNsStp,One,Metallica,0.00111,0.437,0.695,0.413,0.0857,0.0617,102.178,-9.447,1,7,447440,3
0lKUFDN6EFpbg5bnUfkkrl,n/A,Bring Me The Horizon,0.00497,0.419,0.897,0.362,1.67e-05,0.147,153.89,-3.526,1,4,200237,4
1BRrN8tci0gQLduXQUDpgm,ICU,ten56.,0.00138,0.451,0.984,0.0652,0.0369,0.395,99.962,-4.813,0,4,187500,4
6YychCpwmWIatgIYpAIRag,The Iron Stream,Synapses,1.47e-05,0.258,0.93,0.146,0.726,0.0739,129.828,-2.849,1,1,215640,4
0Ozf2yRoijFP38uv5uOznB,YOU ARE ALL YOU NEED,While She Sleeps,4.78e-05,0.505,0.961,0.2,1.3e-05,0.0755,119.975,-3.621,1,2,208373,4
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,0.0866,0.454,0.91,0.629,0.0996,0.0448,125.116,-7.766,1,6,354520,4
71rc2jJ0lBA7gIlkBGQe9E,Oblivion,Aviana,2.05e-05,0.26,0.981,0.194,0.0334,0.169,116.259,-4.521,1,6,248226,3
